matchId,teamId,laneOutcome,laneEventTimestampMs,laneEventTimestampMin,adc_kills,adc_deaths,support_kills,support_deaths,support_wardsPlaced,jungle_kills,jungle_deaths,team_hordeKills,team_dragonKills
KR_8351086698,100,WIN,624412,10.41,4,1,3,5,3,3,0,3,1
KR_8351086698,200,LOSE,624412,10.41,1,5,2,3,5,3,1,0,0
KR_8350987623,100,WIN,849650,14.16,4,6,2,3,9,5,0,3,1
KR_8350987623,200,LOSE,849650,14.16,6,5,2,4,16,4,3,0,0
KR_8350879633,100,LOSE,909038,15.15,4,6,3,4,12,5,6,2,0
KR_8350879633,200,WIN,909038,15.15,7,4,1,3,12,7,3,1,1
KR_8349782807,100,WIN,587300,9.79,5,3,1,2,7,3,2,0,0
KR_8349782807,200,LOSE,587300,9.79,3,4,1,3,11,2,2,2,0
KR_8347771130,100,LOSE,818932,13.65,1,5,2,4,10,2,2,0,0
KR_8347771130,200,WIN,818932,13.65,4,4,3,1,11,8,0,3,2
KR_8347540120,100,WIN,822832,13.71,4,3,2,3,16,5,2,2,1
KR_8347540120,200,LOSE,822832,13.71,4,4,4,7,15,3,5,1,0
KR_8347392829,100,WIN,980625,16.34,0,2,0,0,73,7,3,3,2
KR_8347392829,200,LOSE,980625,16.34,1,1,1,2,22,1,7,0,0
KR_8347323680,100,WIN,824059,13.73,3,2,1,2,11,2,2,3,1
KR_8347323680,200,LOSE,824059,13.73,2,3,0,2,9,4,1,0,1
KR_8346765343,100,WIN,858977,14.32,2,6,5,5,16,1,5,0,0
KR_8346765343,200,LOSE,858977,14.32,6,2,5,0,14,6,5,3,1
KR_8346464182,100,WIN,1066476,17.77,4,6,8,3,20,4,2,3,2
KR_8346464182,200,LOSE,1066476,17.77,6,6,3,4,58,4,2,0,0
KR_8346451176,100,LOSE,831613,13.86,3,3,1,2,13,3,1,1,0
KR_8346451176,200,WIN,831613,13.86,2,5,0,2,17,3,1,2,0
KR_8346406942,100,WIN,747292,12.45,8,1,6,2,9,0,0,3,1
KR_8346406942,200,LOSE,747292,12.45,0,5,0,4,36,4,4,0,1
KR_8346101007,100,LOSE,958302,15.97,7,6,9,0,17,0,2,3,1
KR_8346101007,200,WIN,958302,15.97,7,10,1,5,13,3,5,0,1
KR_8346031984,100,LOSE,776296,12.94,0,4,1,3,12,3,2,1,0
KR_8346031984,200,WIN,776296,12.94,5,1,0,2,14,4,1,2,0
KR_8354645141,100,WIN,969595,16.16,1,2,0,5,17,3,4,1,1
KR_8354645141,200,LOSE,969595,16.16,2,3,1,4,20,3,2,2,0
KR_8354587815,100,WIN,806953,13.45,4,3,0,2,6,4,1,2,1
KR_8354587815,200,LOSE,806953,13.45,1,3,1,5,10,4,1,1,1
KR_8350827668,100,LOSE,931578,15.53,2,5,2,6,12,5,1,3,1
