matchId,teamId,win,laneEventTimestampMs,laneOutcome,adc_kills,adc_deaths,support_kills,support_deaths,jungle_kills,jungle_deaths,support_wardsPlaced,team_hordeKills,team_dragonKills,adc_masteryPoints,support_masteryPoints
KR_8352916175,200,True,913990,LOSE,2,3,1,4,6,4,52,1,2,11578,63891
KR_8351332373,100,True,1076702,WIN,1,3,1,2,2,3,69,0,0,56658,262228
KR_8351332373,200,False,1076702,LOSE,3,2,2,4,4,3,28,3,1,44335,166828
KR_8351277055,100,False,855083,LOSE,1,5,0,3,1,0,10,3,0,245503,3848
KR_8351277055,200,True,855083,WIN,4,1,0,0,0,1,14,0,1,276733,80592
KR_8351162492,100,True,953858,WIN,4,1,1,6,6,3,21,3,2,685439,12585
KR_8351162492,200,False,953858,LOSE,1,4,1,3,7,3,14,0,0,315560,138097
KR_8351086698,100,True,624412,WIN,4,1,3,5,3,0,3,3,1,153080,49143
KR_8351086698,200,False,624412,LOSE,1,5,2,3,3,1,5,0,0,79338,9700
KR_8350987623,100,True,849650,WIN,4,6,2,3,5,0,9,3,1,57309,91892
KR_8350987623,200,False,849650,LOSE,6,5,2,4,4,3,16,0,0,79338,106186
KR_8350879633,100,True,909038,LOSE,4,6,3,4,5,6,12,2,0,85840,64221
KR_8350879633,200,False,909038,WIN,7,4,1,3,7,3,12,1,1,30631,2357013
KR_8349782807,100,False,587300,WIN,5,3,1,2,3,2,7,0,0,6818,133200
KR_8349782807,200,True,587300,LOSE,3,4,1,3,2,2,11,2,0,38559,56833
KR_8347771130,100,False,818932,LOSE,1,5,2,4,2,2,10,0,0,90131,35802
KR_8347771130,200,True,818932,WIN,4,4,3,1,8,0,11,3,2,384475,186618
KR_8347540120,100,True,822832,WIN,4,3,2,3,5,2,16,2,1,137938,2310379
KR_8347540120,200,False,822832,LOSE,4,4,4,7,3,5,15,1,0,4945121,51605
KR_8347392829,100,True,980625,WIN,0,2,0,0,7,3,73,3,2,1351723,78678
KR_8347392829,200,False,980625,LOSE,1,1,1,2,1,7,22,0,0,79421,541972
KR_8347323680,100,True,824059,WIN,3,2,1,2,2,2,11,3,1,34509,400890
KR_8347323680,200,False,824059,LOSE,2,3,0,2,4,1,9,0,1,487570,694055
KR_8346765343,100,False,858977,WIN,2,6,5,5,1,5,16,0,0,3428,79280
KR_8346765343,200,True,858977,LOSE,6,2,5,0,6,5,14,3,1,372901,24884
KR_8346464182,100,False,1066476,WIN,4,6,8,3,4,2,20,3,2,49387,20542
KR_8346464182,200,True,1066476,LOSE,6,6,3,4,4,2,58,0,0,132055,36243
KR_8346451176,100,False,831613,LOSE,3,3,1,2,3,1,13,1,0,525914,95251
KR_8346451176,200,True,831613,WIN,2,5,0,2,3,1,17,2,0,143923,17372
KR_8346406942,100,True,747292,WIN,8,1,6,2,0,0,9,3,1,426341,51312
KR_8346406942,200,False,747292,LOSE,0,5,0,4,4,4,36,0,1,301220,66589
KR_8346101007,100,True,958302,LOSE,7,6,9,0,0,2,17,3,1,202355,33663
KR_8346101007,200,False,958302,WIN,7,10,1,5,3,5,13,0,1,15117,19357
KR_8346031984,100,False,776296,LOSE,0,4,1,3,3,2,12,1,0,90567,112579
KR_8346031984,200,True,776296,WIN,5,1,0,2,4,1,14,2,0,271315,166828
KR_8354645141,100,True,969595,WIN,1,2,0,5,3,4,17,1,1,3426,119253
KR_8354645141,200,False,969595,LOSE,2,3,1,4,3,2,20,2,0,106463,142125
KR_8354587815,100,False,806953,WIN,4,3,0,2,4,1,6,2,1,7374,64221
KR_8354587815,200,True,806953,LOSE,1,3,1,5,4,1,10,1,1,43009,89584
KR_8350827668,100,True,931578,LOSE,2,5,2,6,5,1,12,3,1,329868,31974
KR_8350827668,200,False,931578,WIN,7,1,1,4,5,2,13,0,0,959551,3391363
KR_8350761897,100,False,645108,WIN,5,4,1,4,3,1,5,0,0,57309,19722
KR_8350761897,200,True,645108,LOSE,2,4,2,2,6,2,10,3,1,11440,172011
KR_8350702056,100,False,1018720,LOSE,3,5,3,3,7,2,18,3,1,174997,41823
KR_8350702056,200,True,1018720,WIN,4,6,0,5,8,2,17,0,0,33068,5012
KR_8348631100,100,True,879321,WIN,1,4,3,3,8,1,11,1,1,201703,16720
KR_8348631100,200,False,879321,LOSE,2,0,3,2,2,4,22,2,0,312630,1082604
KR_8347668508,100,False,793429,WIN,0,1,0,1,3,3,11,0,1,430856,14548
KR_8347668508,200,True,793429,LOSE,2,1,0,0,4,0,9,3,0,76765,317058
KR_8351860951,100,True,628952,LOSE,1,3,0,3,0,1,6,1,0,153673,78392
KR_8351860951,200,False,628952,WIN,2,0,3,1,2,1,1,0,0,594136,179303
KR_8351804965,100,False,973984,LOSE,6,4,4,3,7,0,12,2,2,174997,277961
KR_8351804965,200,True,973984,WIN,4,8,1,8,4,3,22,1,0,611740,57151
KR_8349070225,100,False,701458,LOSE,0,2,3,3,2,2,8,0,0,6310,5022
KR_8349070225,200,True,701458,WIN,2,4,3,1,2,1,7,3,0,611740,8819
KR_8347931877,100,False,1033547,WIN,2,1,0,0,3,2,23,3,0,232566,204065
KR_8347931877,200,True,1033547,LOSE,1,2,1,2,0,1,23,0,2,611740,23832
KR_8347908335,100,False,731086,LOSE,1,2,0,2,0,3,34,1,0,301153,4039
KR_8347908335,200,True,731086,WIN,3,1,2,0,1,0,14,2,1,611740,30153
KR_8346745910,100,True,958581,WIN,4,3,0,3,5,2,20,0,1,611740,71248
KR_8346745910,200,False,958581,LOSE,4,4,1,4,4,0,10,3,1,164689,19813
KR_8345589624,100,False,885595,LOSE,2,4,2,3,2,2,19,1,1,46232,172011
KR_8345589624,200,True,885595,WIN,4,0,1,4,2,0,15,2,1,594136,50221
KR_8343232194,100,True,824564,WIN,1,3,2,3,5,2,10,3,2,1290390,722307
KR_8343232194,200,False,824564,LOSE,4,3,0,3,2,5,13,0,0,556833,140314
KR_8343154584,100,False,673039,LOSE,1,3,0,3,2,2,27,0,1,11575,2769
KR_8343154584,200,True,673039,WIN,3,1,1,0,2,0,9,3,0,94093,470726
KR_8343078857,100,True,688927,WIN,0,0,2,2,2,0,7,0,1,3923,5225
KR_8343078857,200,False,688927,LOSE,0,0,1,3,2,2,8,3,0,383007,470726
KR_8343002491,100,False,976961,LOSE,6,2,0,1,4,4,17,3,0,80299,17924
KR_8343002491,200,True,976961,WIN,1,4,1,2,1,4,32,0,2,232686,73668
KR_8342950277,100,False,736734,LOSE,5,5,1,1,5,4,10,3,0,81477,41227
KR_8342950277,200,True,736734,WIN,5,1,1,6,2,6,5,0,1,594136,35957
KR_8342879569,100,False,888587,LOSE,0,5,1,1,5,1,19,3,1,240868,722307
KR_8342879569,200,True,888587,WIN,4,0,1,3,3,3,15,0,1,594136,184683
KR_8342817817,100,True,890869,LOSE,3,4,0,2,5,0,20,3,0,594136,373285
KR_8342817817,200,False,890869,WIN,1,2,0,1,5,2,47,0,2,584216,267780
KR_8342765089,100,True,1068094,WIN,8,1,2,4,5,4,72,0,1,383007,58334
KR_8342765089,200,False,1068094,LOSE,3,6,5,8,3,4,20,3,1,232686,6090
KR_8342716906,100,True,683045,WIN,5,0,0,1,1,0,9,3,1,584216,22362
